time,light
0,478.4
1,456.32
2,456.32
3,456.32
4,456.32
5,456.32
6,456.32
7,456.32
8,456.32
9,456.32
10,456.32
11,456.32
12,456.32
13,456.32
14,456.32
15,456.32
16,456.32
17,456.32
18,441.6
19,456.32
20,456.32
21,456.32
22,456.32
23,456.32
24,456.32
25,456.32
26,456.32
27,456.32
28,441.6
29,441.6
30,441.6
31,441.6
32,441.6
33,441.6
34,441.6
35,441.6
36,441.6
37,441.6
38,441.6
39,441.6
40,441.6
41,441.6
42,441.6
43,441.6
44,441.6
45,441.6
46,441.6
47,441.6
48,441.6
49,441.6
50,441.6
51,441.6
52,441.6
53,441.6
54,441.6
55,441.6
56,441.6
57,441.6
58,441.6
59,441.6
60,441.6
61,441.6
62,441.6
63,441.6
64,441.6
65,441.6
66,441.6
67,441.6
68,441.6
69,441.6
70,441.6
71,441.6
72,441.6
73,441.6
74,441.6
75,441.6
76,441.6
77,441.6
78,441.6
79,441.6
80,441.6
81,441.6
82,441.6
83,441.6
84,441.6
85,441.6
86,441.6
87,441.6
88,441.6
89,441.6
90,441.6
91,441.6
92,441.6
93,441.6
94,441.6
95,441.6
96,441.6
97,441.6
98,441.6
99,441.6
100,441.6
101,441.6
102,441.6
103,441.6
104,441.6
105,441.6
106,441.6
107,441.6
108,441.6
109,441.6
110,441.6
111,441.6
112,426.88
113,426.88
114,426.88
115,426.88
116,426.88
117,426.88
118,426.88
119,426.88
120,426.88
121,426.88
122,426.88
123,426.88
124,426.88
125,426.88
126,426.88
127,426.88
128,426.88
129,426.88
130,426.88
131,426.88
132,426.88
133,426.88
134,426.88
135,426.88
136,426.88
137,426.88
138,426.88
139,426.88
140,426.88
141,426.88
142,426.88
143,426.88
144,426.88
145,426.88
146,426.88
147,426.88
148,426.88
149,426.88
150,426.88
151,426.88
152,426.88
153,426.88
154,426.88
155,426.88
156,426.88
157,426.88
158,426.88
159,426.88
160,426.88
161,426.88
162,426.88
163,426.88
164,426.88
165,426.88
166,426.88
167,426.88
168,426.88
169,426.88
170,426.88
171,426.88
172,426.88
173,426.88
174,426.88
175,426.88
176,426.88
177,426.88
178,426.88
179,426.88
180,426.88
181,426.88
182,426.88
183,426.88
184,426.88
185,426.88
186,426.88
187,426.88
188,426.88
189,426.88
190,426.88
191,426.88
192,426.88
193,426.88
194,426.88
195,426.88
196,426.88
197,426.88
198,426.88
199,426.88
200,426.88
201,426.88
202,426.88
203,426.88
204,426.88
205,426.88
206,426.88
207,426.88
208,426.88
209,426.88
210,426.88
211,426.88
212,426.88
213,426.88
214,426.88
215,426.88
216,426.88
217,426.88
218,426.88
219,426.88
220,426.88
221,426.88
222,426.88
223,426.88
224,426.88
225,426.88
226,426.88
227,426.88
228,426.88
229,426.88
230,426.88
231,426.88
232,426.88
233,426.88
234,426.88
235,426.88
236,426.88
237,426.88
238,426.88
239,426.88
240,426.88
241,426.88
242,426.88
243,412.16
244,426.88
245,426.88
246,426.88
247,412.16
248,426.88
249,426.88
250,426.88
251,426.88
252,426.88
253,426.88
254,426.88
255,426.88
256,426.88
257,426.88
258,426.88
259,426.88
260,426.88
261,426.88
262,426.88
263,426.88
264,426.88
265,426.88
266,426.88
267,426.88
268,426.88
269,426.88
270,426.88
271,426.88
272,426.88
273,426.88
274,426.88
275,426.88
276,426.88
277,426.88
278,426.88
279,426.88
280,426.88
281,426.88
282,426.88
283,426.88
284,426.88
285,426.88
286,426.88
287,426.88
288,426.88
289,426.88
290,426.88
291,426.88
292,426.88
293,426.88
294,426.88
295,426.88
296,426.88
297,426.88
298,426.88
299,441.6
300,441.6
301,441.6
302,441.6
303,441.6
304,441.6
305,441.6
306,441.6
307,441.6
308,441.6
309,441.6
310,441.6
311,441.6
312,441.6
313,441.6
314,441.6
315,441.6
316,441.6
317,456.32
318,456.32
319,478.4
320,507.84
321,507.84
322,507.84
323,507.84
324,537.28
325,537.28
326,537.28
327,537.28
328,537.28
329,537.28
330,537.28
331,537.28
332,566.72
333,566.72
334,566.72
335,566.72
336,566.72
337,566.72
338,566.72
339,566.72
340,566.72
341,566.72
342,566.72
343,566.72
344,566.72
345,596.16
346,596.16
347,596.16
348,596.16
349,596.16
350,596.16
351,596.16
352,596.16
353,596.16
354,596.16
355,625.6
356,625.6
357,625.6
358,625.6
359,625.6
360,625.6
361,625.6
362,625.6
363,625.6
364,625.6
365,625.6
366,625.6
367,625.6
368,625.6
369,655.04
370,655.04
371,655.04
372,655.04
373,655.04
374,655.04
375,655.04
376,655.04
377,655.04
378,655.04
379,655.04
380,684.48
381,684.48
382,684.48
383,684.48
384,684.48
385,684.48
386,684.48
387,684.48
388,684.48
389,684.48
390,713.92
391,713.92
392,713.92
393,713.92
394,713.92
395,713.92
396,713.92
397,713.92
398,743.36
399,743.36
400,743.36
401,743.36
402,743.36
403,743.36
404,772.8
405,772.8
406,772.8
407,772.8
408,772.8
409,772.8
410,802.24
411,802.24
412,802.24
413,802.24
414,802.24
415,802.24
416,802.24
417,831.68
418,831.68
419,831.68
420,831.68
421,831.68
422,831.68
423,831.68
424,831.68
425,831.68
426,831.68
427,831.68
428,831.68
429,831.68
430,831.68
431,831.68
432,831.68
433,831.68
434,831.68
435,831.68
436,831.68
437,831.68
438,831.68
439,831.68
440,831.68
441,831.68
442,831.68
443,831.68
444,831.68
445,831.68
446,831.68
447,831.68
448,831.68
449,831.68
450,831.68
451,831.68
452,831.68
453,831.68
454,861.12
455,861.12
456,861.12
457,861.12
458,861.12
459,861.12
460,861.12
461,861.12
462,861.12
463,861.12
464,861.12
465,861.12
466,861.12
467,861.12
468,861.12
469,861.12
470,861.12
471,861.12
472,861.12
473,890.56
474,890.56
475,890.56
476,890.56
477,920.0
478,920.0
479,920.0
480,920.0
481,920.0
482,920.0
483,920.0
484,920.0
485,920.0
486,920.0
487,920.0
488,920.0
489,964.16
490,964.16
491,964.16
492,964.16
493,964.16
494,964.16
495,964.16
496,964.16
497,964.16
498,964.16
499,964.16
500,964.16
501,964.16
502,964.16
503,964.16
504,964.16
505,964.16
506,964.16
507,964.16
508,964.16
509,964.16
510,964.16
511,964.16
512,964.16
513,964.16
514,964.16
515,964.16
516,964.16
517,964.16
518,964.16
519,964.16
520,964.16
521,964.16
522,964.16
523,964.16
524,964.16
525,964.16
526,964.16
527,964.16
528,1023.04
529,964.16
530,1023.04
531,1023.04
532,1023.04
533,1023.04
534,964.16
535,964.16
536,964.16
537,964.16
538,1023.04
539,964.16
540,964.16
541,964.16
542,964.16
543,964.16
544,964.16
545,964.16
546,964.16
547,964.16
548,964.16
549,964.16
550,964.16
551,964.16
552,964.16
553,964.16
554,964.16
555,964.16
556,964.16
557,964.16
558,964.16
559,964.16
560,964.16
561,920.0
562,920.0
563,964.16
564,964.16
565,964.16
566,920.0
567,964.16
568,964.16
569,920.0
570,964.16
571,964.16
572,964.16
573,964.16
574,964.16
575,964.16
576,964.16
577,964.16
578,964.16
579,964.16
580,964.16
581,964.16
582,964.16
583,964.16
584,964.16
585,964.16
586,964.16
587,964.16
588,964.16
589,964.16
590,964.16
591,964.16
592,964.16
593,920.0
594,964.16
595,964.16
596,964.16
597,964.16
598,964.16
599,964.16
600,964.16
601,964.16
602,964.16
603,964.16
604,920.0
605,920.0
606,920.0
607,920.0
608,920.0
609,964.16
610,964.16
611,964.16
612,964.16
613,964.16
614,964.16
615,964.16
616,920.0
617,964.16
618,964.16
619,964.16
620,964.16
621,964.16
622,964.16
623,964.16
624,964.16
625,964.16
626,920.0
627,920.0
628,920.0
629,920.0
630,964.16
631,920.0
632,964.16
633,964.16
634,920.0
635,964.16
636,964.16
637,964.16
638,964.16
639,920.0
640,920.0
641,920.0
642,964.16
643,964.16
644,920.0
645,920.0
646,890.56
647,890.56
648,890.56
649,890.56
650,920.0
651,964.16
652,964.16
653,964.16
654,964.16
655,920.0
656,920.0
657,920.0
658,964.16
659,964.16
660,964.16
661,964.16
662,964.16
663,964.16
664,964.16
665,964.16
666,964.16
667,964.16
668,964.16
669,964.16
670,920.0
671,920.0
672,920.0
673,964.16
674,964.16
675,964.16
676,964.16
677,920.0
678,890.56
679,920.0
680,964.16
681,964.16
682,964.16
683,964.16
684,964.16
685,964.16
686,964.16
687,964.16
688,964.16
689,964.16
690,964.16
691,964.16
692,964.16
693,920.0
694,920.0
695,964.16
696,964.16
697,964.16
698,964.16
699,964.16
700,964.16
701,964.16
702,920.0
703,920.0
704,920.0
705,920.0
706,802.24
707,802.24
708,861.12
709,920.0
710,920.0
711,890.56
712,964.16
713,964.16
714,964.16
715,890.56
716,890.56
717,861.12
718,831.68
719,861.12
720,831.68
721,861.12
722,861.12
723,890.56
724,890.56
725,890.56
726,964.16
727,964.16
728,964.16
729,964.16
730,920.0
731,920.0
732,920.0
733,920.0
734,920.0
735,920.0
736,920.0
737,890.56
738,920.0
739,890.56
740,890.56
741,920.0
742,890.56
743,890.56
744,890.56
745,890.56
746,920.0
747,920.0
748,920.0
749,890.56
750,890.56
751,861.12
752,831.68
753,831.68
754,831.68
755,831.68
756,861.12
757,861.12
758,831.68
759,743.36
760,743.36
761,743.36
762,743.36
763,861.12
764,861.12
765,772.8
766,772.8
767,772.8
768,802.24
769,802.24
770,802.24
771,802.24
772,802.24
773,831.68
774,802.24
775,802.24
776,802.24
777,831.68
778,802.24
779,831.68
780,831.68
781,831.68
782,831.68
783,831.68
784,802.24
785,802.24
786,802.24
787,802.24
788,772.8
789,772.8
790,772.8
791,772.8
792,772.8
793,772.8
794,772.8
795,772.8
796,743.36
797,743.36
798,743.36
799,743.36
800,743.36
801,743.36
802,743.36
803,684.48
804,684.48
805,684.48
806,684.48
807,713.92
808,713.92
809,743.36
810,743.36
811,743.36
812,743.36
813,743.36
814,743.36
815,743.36
816,743.36
817,743.36
818,743.36
819,713.92
820,713.92
821,743.36
822,743.36
823,743.36
824,743.36
825,713.92
826,713.92
827,713.92
828,713.92
829,713.92
830,684.48
831,684.48
